,discount_total_offers,discount_completion_pct,discount_min_completion_days,discount_max_completion_days,discount_completed_offers,discount_avg_completion_days,discount_avg_net_reward,bogo_total_offers,bogo_completion_pct,bogo_completed_offersbogo_min_completion_days,bogo_max_completion_days,bogo_avg_completion_days,bogo_avg_net_reward,informational_promotions,age,income,total_transactions,min_transaction_day,max_transaction_day,avg_transaction,total_transaction_amount,median_days_between_purchases,avg_days_between_purchases,gender_F,gender_M,gender_O,gender_Unknown
0,1.0,1.0,0.0,0.0,1.0,0.0,-8.0,1.0,1.0,0.0,6.0,6.0,0.0,2,33,72000.0,8.0,228.0,696.0,15.95,127.6,27.0,59.25,0,1,0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,118,65404.9915682968,3.0,294.0,474.0,1.3633333333333333,4.09,18.0,62.0,0,0,0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,40,57000.0,5.0,132.0,654.0,15.892,79.46000000000001,66.0,105.6,0,0,1,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,59,90000.0,8.0,54.0,708.0,24.6075,196.86,21.0,82.5,1,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24,60000.0,12.0,42.0,672.0,12.8375,154.05,30.0,53.0,1,0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,26,73000.0,18.0,66.0,696.0,2.685555555555556,48.34,21.0,35.333333333333336,1,0,0,0
6,3.0,0.0,0.0,0.0,0.0,0.0,-10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1,19,65000.0,17.0,36.0,696.0,4.029999999999999,68.50999999999999,18.0,39.1764705882353,1,0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,55,74000.0,6.0,18.0,714.0,23.06,138.36,90.0,117.0,1,0,0,0
8,1.0,1.0,0.0,0.0,1.0,0.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,0,54,99000.0,12.0,222.0,690.0,28.94833333333333,347.38,27.0,39.5,0,1,0,0
9,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,3.0,0.0,0.0,0.0,0.0,0.0,0,56,47000.0,4.0,204.0,588.0,5.09,20.36,33.0,97.5,0,1,0,0
10,2.0,1.0,0.0,6.0,2.0,3.0,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,1,54,91000.0,5.0,132.0,672.0,28.828,144.14,96.0,109.2,0,1,0,0
11,2.0,0.0,0.0,0.0,0.0,0.0,-9.5,2.0,0.0,0.0,0.0,0.0,0.0,1,118,65404.9915682968,3.0,30.0,390.0,2.4033333333333333,7.21,162.0,122.0,0,0,0,1
12,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,118,65404.9915682968,5.0,162.0,696.0,6.7,33.5,78.0,108.0,0,0,0,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,9.0,0.0,1,58,119000.0,15.0,12.0,702.0,25.008,375.12,36.0,46.4,1,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28,68000.0,7.0,72.0,696.0,17.407142857142855,121.85,84.0,90.0,1,0,0,0
15,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26,61000.0,17.0,132.0,684.0,3.701764705882353,62.93,24.0,32.8235294117647,0,1,0,0
16,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,4.0,0.0,0.0,0.0,0.0,0.0,0,71,41000.0,4.0,84.0,624.0,1.565,6.26,51.0,136.5,0,1,0,0
17,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,3.0,0.0,0.0,0.0,0.0,0.0,2,24,42000.0,7.0,108.0,450.0,2.3114285714285714,16.18,18.0,49.71428571428572,0,1,0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,3.0,0.0,0,62,81000.0,12.0,6.0,540.0,23.263333333333332,279.16,24.0,45.0,1,0,0,0
19,2.0,0.0,0.0,0.0,0.0,0.0,-6.0,3.0,0.0,0.0,0.0,0.0,0.0,1,118,65404.9915682968,3.0,174.0,552.0,0.8466666666666667,2.54,180.0,128.0,0,0,0,1
20,2.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,61,66000.0,9.0,126.0,594.0,11.758888888888889,105.83,30.0,52.66666666666666,0,1,0,0
21,4.0,0.0,0.0,0.0,0.0,0.0,-7.75,1.0,0.0,0.0,0.0,0.0,0.0,0,118,65404.9915682968,7.0,30.0,684.0,1.6828571428571428,11.78,84.0,94.28571428571428,0,0,0,1
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,88,54000.0,11.0,18.0,600.0,15.127272727272729,166.4,42.0,53.45454545454545,1,0,0,0
23,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,2,118,65404.9915682968,8.0,126.0,624.0,2.59125,20.73,81.0,63.0,0,0,0,1
24,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,1.0,0.0,6.0,6.0,0.0,1,55,83000.0,8.0,402.0,696.0,27.25625,218.05,30.0,37.5,0,1,0,0
25,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.0,0,21,59000.0,5.0,78.0,546.0,4.106,20.53,36.0,94.8,0,1,0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,72,102000.0,5.0,156.0,702.0,26.65,133.25,42.0,110.4,0,1,0,0
