index,gender,age,id,income,member_year,member_month,member_day,member_date
0,F,55,0610b486422d4921ae7d2bf64640c50b,112000.0,2017,7,15,2017-07-15
1,F,75,78afa995795e4d85b5d9ceeca43f5fef,100000.0,2017,5,9,2017-05-09
2,M,68,e2127556f4f64592b11af22de27a7932,70000.0,2018,4,26,2018-04-26
3,M,65,389bc3fa690240e798340f5a15918d5c,53000.0,2018,2,9,2018-02-09
4,M,58,2eeac8d8feae4a8cad5a6af0499a211d,51000.0,2017,11,11,2017-11-11
5,F,61,aa4862eba776480b8bb9c68455b8c2e1,57000.0,2017,9,11,2017-09-11
6,M,26,e12aeaf2d47d42479ea1c4ac3d8286c6,46000.0,2014,2,13,2014-02-13
7,F,62,31dda685af34476cad5bc968bdb01c53,71000.0,2016,2,11,2016-02-11
8,M,49,62cf5e10845442329191fc246e7bcea3,52000.0,2014,11,13,2014-11-13
9,M,57,6445de3b47274c759400cd68131d91b4,42000.0,2017,12,31,2017-12-31
11,F,40,440cf1fd7580490c971d8c651ed962af,71000.0,2016,5,4,2016-05-04
12,M,64,4b0da7e80e5945209a1fdddfe813dbe0,100000.0,2017,9,9,2017-09-09
13,F,78,c27e0d6ab72c455a8bb66d980963de60,71000.0,2017,6,16,2017-06-16
14,M,42,f806632c011441378d4646567f357a21,69000.0,2013,8,11,2013-08-11
15,F,56,d058f73bf8674a26a95227db098147b1,88000.0,2018,4,28,2018-04-28
16,F,33,c6c9884912c645429f3333f912b55f44,52000.0,2017,9,26,2017-09-26
18,M,59,ebe7ef46ea6f4963a7dd49f501b26779,41000.0,2015,1,21,2015-01-21
19,M,67,5917d13f6fa04286abdf95f4d5cefb1e,96000.0,2014,8,23,2014-08-23
20,O,53,d1ede868e29245ea91818a903fec04c6,52000.0,2017,9,16,2017-09-16
21,M,22,1e9420836d554513ab90eba98552d0a9,70000.0,2017,9,25,2017-09-25
22,F,96,868317b9be554cb18e50bc68484749a2,89000.0,2017,11,17,2017-11-17
23,M,40,f082d80f0aac47a99173ba8ef8fc1909,33000.0,2016,7,9,2016-07-09
24,F,69,102e9454054946fda62242d2e176fdce,57000.0,2016,8,14,2016-08-14
25,M,56,8dabe2142cdf4013a6f4786edf8ab00f,68000.0,2014,5,11,2014-05-11
26,F,26,9f30b375d7bd4c62a884ffe7034e09ee,63000.0,2017,8,12,2017-08-12
27,M,75,6e014185620b49bd98749f728747572f,40000.0,2015,11,12,2015-11-12
29,M,45,c0d210398dee4a0895b24444a5fcd1d2,33000.0,2018,7,7,2018-07-07
30,M,61,8b70ca1f5f5a45bdac2ac2f990b71526,98000.0,2017,11,21,2017-11-21
31,F,69,8e7c7465e98c43d8a01f51e2b5c29542,37000.0,2013,9,18,2013-09-18
32,F,54,57dd18ec5ddc46828afb81ec5977bef2,80000.0,2017,2,7,2017-02-07
33,M,39,be8a5d1981a2458d90b255ddc7e0d174,51000.0,2014,5,27,2014-05-27
34,F,41,3f89b8f80ebc4f94b7074f28071aa8d4,41000.0,2015,9,21,2015-09-21
35,F,79,a3b9b4bf115e4564933ea2e4bc936843,48000.0,2015,4,15,2015-04-15
36,F,66,7584948ea6d04f94b8798624706261c2,38000.0,2018,4,8,2018-04-08
37,F,56,e9844d5beac04bf8b8d3ad18f7e37fca,52000.0,2017,6,26,2017-06-26
38,F,39,f247806381704ea58c1b06f60602a6ae,56000.0,2014,7,23,2014-07-23
39,M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,96000.0,2016,1,17,2016-01-17
40,F,78,fe8264108d5b4f198453bbb1fa7ca6c9,93000.0,2016,10,9,2016-10-09
42,M,29,8a87fda1a6644337b4394a4c3cd0946c,50000.0,2016,4,30,2016-04-30
43,M,44,b7a66e629b134079a9bc7120c7b9947b,35000.0,2017,9,24,2017-09-24
44,M,63,ca82e1ebc759402c8ab95c341755bdf1,56000.0,2018,7,13,2018-07-13
45,M,36,54890f68699049c2a04d415abc25e717,56000.0,2017,12,28,2017-12-28
46,F,76,ab66a363907e43e9a7cd535f1578245b,47000.0,2018,3,14,2018-03-14
47,M,68,d3f146b615514c6380b168bb3df5f05b,87000.0,2017,8,23,2017-08-23
48,M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,52000.0,2015,11,29,2015-11-29
49,M,67,2e87ba0fba1a4d1a8614af771f07a94d,76000.0,2017,2,26,2017-02-26
51,M,76,39dbcf43e24d41f4bbf0f134157e0e1e,64000.0,2014,8,31,2014-08-31
52,M,57,b62e66ca4dcf4df39fd522e750a88d81,98000.0,2018,2,7,2018-02-07
53,F,53,8c7df0c393db488aac3e58b06a7ea5f9,72000.0,2016,7,6,2016-07-06
54,F,53,3a1242dda16248728e350c4bdeb21972,117000.0,2016,12,31,2016-12-31
55,F,53,8045834137dc47faa24f2c4547969f33,55000.0,2017,10,26,2017-10-26
56,F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,112000.0,2017,11,10,2017-11-10
57,F,67,5cd6577aca5d4b419e452f9f505ffce7,77000.0,2016,9,10,2016-09-10
58,F,58,99e9a1916821461ebd5d5048dc2dff7d,85000.0,2018,1,25,2018-01-25
61,M,59,0b73997a269247088b2a63355f53ee58,89000.0,2017,8,20,2017-08-20
62,M,51,f44b44b53c0548d5b27c812fda4c358a,41000.0,2015,12,31,2015-12-31
63,M,27,6e04a90a0e074496b5f229eb1f553433,35000.0,2018,1,10,2018-01-10
65,F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,91000.0,2018,4,19,2018-04-19
66,F,74,2c5c63e5124e417b8504f76c868a4190,107000.0,2015,12,24,2015-12-24
67,M,42,9d6da0a2ac54474e8ec986fd21cecef0,66000.0,2015,11,21,2015-11-21
68,M,78,571b739ada3041fb8fbd20f23ce034f7,58000.0,2015,11,11,2015-11-11
69,F,54,816afd4505d047cf893275fbfe825590,53000.0,2016,12,25,2016-12-25
71,F,49,68eee228713c429ebe1300155ad1fb33,57000.0,2017,4,8,2017-04-08
73,M,64,cbebad9819494b479dbf0c1207b4c0c5,70000.0,2017,3,5,2017-03-05
74,F,89,4264b1d027cc493281bba4f44bfedaca,87000.0,2017,11,14,2017-11-14
75,M,73,0ba6e2ad781c4429afd26cf0b35f2d11,51000.0,2018,4,1,2018-04-01
76,F,50,b5abc1e85be84f43937b4fca0ad238cb,93000.0,2017,5,6,2017-05-06
77,F,90,1c587de019994f93a242c6864fd7bc55,98000.0,2015,12,10,2015-12-10
78,F,68,3f4e408b0b2d4ea89dd16d7437d867c1,84000.0,2016,7,31,2016-07-31
79,M,60,13bda8fbd70a4814b956df1d55320398,64000.0,2017,2,6,2017-02-06
81,M,66,21c73d53e2a74bb1b4dc172bff2b1aad,49000.0,2016,1,24,2016-01-24
82,F,19,1abeb816d9fa49b4b5b5ae51bc3d24c3,73000.0,2016,10,15,2016-10-15
83,F,66,92e07c49ee7448fca6e48df0c96e3eec,58000.0,2018,2,16,2018-02-16
